,District,confirmed,deceased,recovered
0,Nicobars,0.0,0.0,0.0
1,North and Middle Andaman,0.0,0.0,0.0
2,South Andaman,0.0,0.0,0.0
3,Unknown,0.0,0.0,0.0
4,Foreign Evacuees,0.0,0.0,0.0
5,Anantapur,51.0,1.0,45.0
6,Chittoor,175.0,5.0,360.0
7,East Godavari,385.0,1.0,502.0
8,Guntur,222.0,2.0,211.0
9,Krishna,148.0,3.0,187.0
10,Kurnool,10.0,0.0,26.0
11,Other State,0.0,0.0,0.0
12,Prakasam,98.0,3.0,188.0
13,S.P.S. Nellore,177.0,1.0,168.0
14,Srikakulam,82.0,0.0,45.0
15,Visakhapatnam,63.0,1.0,181.0
16,Vizianagaram,21.0,0.0,16.0
17,West Godavari,304.0,1.0,243.0
18,Y.S.R. Kadapa,133.0,0.0,144.0
19,Anjaw,3.0,0.0,3.0
20,Changlang,9.0,0.0,6.0
21,East Kameng,5.0,0.0,3.0
22,East Siang,5.0,0.0,5.0
23,Kamle,2.0,0.0,8.0
24,Kra Daadi,0.0,0.0,0.0
25,Kurung Kumey,0.0,0.0,5.0
26,Lepa Rada,5.0,0.0,2.0
27,Lohit,11.0,1.0,5.0
28,Longding,2.0,0.0,2.0
29,Lower Dibang Valley,5.0,0.0,0.0
30,Lower Siang,8.0,0.0,14.0
31,Lower Subansiri,15.0,0.0,17.0
32,Namsai,7.0,0.0,0.0
33,Pakke Kessang,1.0,0.0,0.0
34,Papum Pare,65.0,1.0,112.0
35,Shi Yomi,2.0,0.0,0.0
36,Siang,3.0,0.0,5.0
37,Tawang,12.0,0.0,6.0
38,Tirap,2.0,0.0,6.0
39,Upper Dibang Valley,3.0,0.0,1.0
40,Upper Siang,1.0,0.0,0.0
41,Upper Subansiri,6.0,1.0,1.0
42,West Kameng,9.0,0.0,15.0
43,West Siang,7.0,0.0,17.0
44,Airport Quarantine,0.0,0.0,2.0
45,Baksa,9.0,0.0,0.0
46,Barpeta,72.0,0.0,0.0
47,Biswanath,34.0,0.0,0.0
48,Bongaigaon,14.0,0.0,0.0
49,Cachar,21.0,1.0,0.0
50,Charaideo,4.0,0.0,0.0
51,Chirang,14.0,0.0,0.0
52,Darrang,18.0,0.0,0.0
53,Dhemaji,26.0,0.0,0.0
54,Dhubri,5.0,1.0,0.0
55,Dibrugarh,42.0,2.0,0.0
56,Dima Hasao,8.0,0.0,0.0
57,Goalpara,19.0,0.0,0.0
58,Golaghat,50.0,0.0,0.0
59,Hailakandi,4.0,0.0,0.0
60,Hojai,17.0,0.0,0.0
61,Jorhat,38.0,0.0,0.0
62,Kamrup,46.0,1.0,0.0
63,Kamrup Metropolitan,161.0,2.0,0.0
64,Karbi Anglong,17.0,0.0,0.0
65,Karimganj,10.0,0.0,0.0
66,Kokrajhar,11.0,1.0,0.0
67,Lakhimpur,42.0,0.0,0.0
68,Majuli,11.0,0.0,0.0
69,Morigaon,32.0,0.0,0.0
70,Nagaon,34.0,1.0,0.0
71,Nalbari,41.0,0.0,0.0
72,Other State,0.0,0.0,0.0
73,Sivasagar,17.0,1.0,0.0
74,Sonitpur,25.0,1.0,0.0
75,South Salmara Mankachar,1.0,0.0,0.0
76,Tinsukia,25.0,0.0,0.0
77,Udalguri,14.0,2.0,0.0
78,West Karbi Anglong,4.0,1.0,0.0
79,Unknown,0.0,0.0,0.0
80,Araria,0.0,0.0,0.0
81,Arwal,0.0,0.0,0.0
82,Aurangabad,23.0,1.0,4.0
83,Banka,1.0,0.0,1.0
84,Begusarai,9.0,0.0,3.0
85,Bhagalpur,1.0,0.0,1.0
86,Bhojpur,1.0,0.0,0.0
87,Buxar,0.0,0.0,0.0
88,Darbhanga,5.0,0.0,1.0
89,East Champaran,1.0,0.0,4.0
90,Gaya,2.0,0.0,1.0
91,Gopalganj,2.0,0.0,1.0
92,Jamui,0.0,0.0,2.0
93,Jehanabad,0.0,0.0,0.0
94,Kaimur,0.0,0.0,0.0
95,Katihar,0.0,0.0,1.0
96,Khagaria,3.0,0.0,3.0
97,Kishanganj,1.0,0.0,2.0
98,Lakhisarai,0.0,0.0,0.0
99,Madhepura,0.0,0.0,5.0
100,Madhubani,2.0,0.0,2.0
101,Munger,0.0,0.0,0.0
102,Muzaffarpur,0.0,0.0,1.0
103,Nalanda,1.0,0.0,0.0
104,Nawada,2.0,0.0,2.0
105,Patna,5.0,0.0,3.0
106,Purnia,0.0,0.0,0.0
107,Rohtas,0.0,0.0,0.0
108,Saharsa,2.0,0.0,2.0
109,Samastipur,2.0,0.0,7.0
110,Saran,3.0,0.0,3.0
111,Sheikhpura,0.0,0.0,0.0
112,Sheohar,0.0,0.0,1.0
113,Sitamarhi,1.0,0.0,3.0
114,Siwan,0.0,0.0,0.0
115,Supaul,0.0,0.0,0.0
116,Vaishali,1.0,0.0,1.0
117,West Champaran,1.0,0.0,1.0
118,Chandigarh,5.0,0.0,1.0
119,Other State,0.0,0.0,0.0
120,Balod,0.0,0.0,3.0
121,Baloda Bazar,4.0,0.0,8.0
122,Balrampur,1.0,0.0,0.0
123,Bametara,0.0,0.0,0.0
124,Bastar,16.0,0.0,6.0
125,Bijapur,2.0,0.0,6.0
126,Bilaspur,19.0,0.0,4.0
127,Dakshin Bastar Dantewada,3.0,0.0,12.0
128,Dhamtari,2.0,0.0,7.0
129,Durg,1.0,0.0,5.0
130,Gariaband,0.0,0.0,8.0
131,Janjgir Champa,8.0,0.0,17.0
132,Jashpur,5.0,0.0,5.0
133,Kabeerdham,1.0,0.0,0.0
134,Kondagaon,3.0,0.0,2.0
135,Korba,3.0,0.0,4.0
136,Koriya,6.0,0.0,1.0
137,Mahasamund,2.0,1.0,5.0
138,Mungeli,1.0,0.0,3.0
139,Narayanpur,0.0,0.0,7.0
140,Raigarh,2.0,0.0,10.0
141,Raipur,4.0,0.0,9.0
142,Rajnandgaon,1.0,0.0,5.0
143,Sukma,5.0,0.0,8.0
144,Surajpur,0.0,0.0,3.0
145,Surguja,1.0,0.0,3.0
146,Uttar Bastar Kanker,6.0,0.0,8.0
147,Gaurela Pendra Marwahi,0.0,0.0,0.0
148,Central Delhi,0.0,0.0,0.0
149,East Delhi,0.0,0.0,0.0
150,New Delhi,0.0,0.0,0.0
151,North Delhi,0.0,0.0,0.0
152,North East Delhi,0.0,0.0,0.0
153,North West Delhi,0.0,0.0,0.0
154,Shahdara,0.0,0.0,0.0
155,South Delhi,0.0,0.0,0.0
156,South East Delhi,0.0,0.0,0.0
157,South West Delhi,0.0,0.0,0.0
158,West Delhi,0.0,0.0,0.0
159,Unknown,0.0,0.0,0.0
160,Other State,0.0,0.0,0.0
161,Dadra and Nagar Haveli,0.0,0.0,0.0
162,Daman,0.0,0.0,0.0
163,Diu,0.0,0.0,0.0
164,Other State,0.0,0.0,0.0
165,North Goa,0.0,0.0,0.0
166,South Goa,0.0,0.0,0.0
167,Unknown,0.0,0.0,0.0
168,Other State,0.0,0.0,0.0
169,Ahmedabad,7.0,0.0,7.0
170,Amreli,0.0,0.0,0.0
171,Anand,0.0,0.0,4.0
172,Aravalli,0.0,0.0,0.0
173,Banaskantha,0.0,0.0,1.0
174,Bharuch,0.0,0.0,0.0
175,Bhavnagar,0.0,0.0,0.0
176,Botad,0.0,0.0,0.0
177,Chhota Udaipur,0.0,0.0,0.0
178,Dahod,0.0,0.0,0.0
179,Dang,0.0,0.0,0.0
180,Devbhumi Dwarka,0.0,0.0,0.0
181,Gandhinagar,0.0,0.0,0.0
182,Gir Somnath,1.0,0.0,0.0
183,Jamnagar,1.0,0.0,3.0
184,Junagadh,0.0,0.0,4.0
185,Kheda,0.0,0.0,0.0
186,Kutch,0.0,0.0,1.0
187,Mahisagar,0.0,0.0,0.0
188,Mehsana,0.0,0.0,0.0
189,Morbi,0.0,0.0,0.0
190,Narmada,0.0,0.0,0.0
191,Navsari,1.0,0.0,0.0
192,Panchmahal,0.0,0.0,0.0
193,Patan,0.0,0.0,0.0
194,Porbandar,0.0,0.0,0.0
195,Rajkot,0.0,0.0,1.0
196,Sabarkantha,0.0,0.0,0.0
197,Surat,3.0,0.0,3.0
198,Surendranagar,0.0,0.0,0.0
199,Tapi,0.0,0.0,0.0
200,Vadodara,3.0,0.0,4.0
201,Valsad,0.0,0.0,0.0
202,Bilaspur,19.0,0.0,4.0
203,Chamba,105.0,0.0,35.0
204,Hamirpur,0.0,0.0,0.0
205,Kangra,64.0,1.0,6.0
206,Kinnaur,2.0,0.0,0.0
207,Kullu,33.0,0.0,26.0
208,Lahaul and Spiti,13.0,0.0,1.0
209,Mandi,66.0,0.0,53.0
210,Shimla,27.0,1.0,8.0
211,Sirmaur,0.0,0.0,0.0
212,Solan,5.0,0.0,2.0
213,Una,5.0,0.0,0.0
214,Foreign Evacuees,0.0,0.0,0.0
215,Ambala,1.0,0.0,1.0
216,Bhiwani,0.0,0.0,0.0
217,Charkhi Dadri,0.0,1.0,0.0
218,Faridabad,2.0,0.0,3.0
219,Fatehabad,0.0,0.0,0.0
220,Gurugram,4.0,0.0,5.0
221,Hisar,0.0,0.0,0.0
222,Italians,0.0,0.0,0.0
223,Jhajjar,0.0,0.0,0.0
224,Jind,0.0,0.0,0.0
225,Kaithal,0.0,0.0,0.0
226,Karnal,0.0,0.0,0.0
227,Kurukshetra,0.0,0.0,2.0
228,Mahendragarh,0.0,0.0,0.0
229,Nuh,1.0,0.0,0.0
230,Palwal,0.0,0.0,0.0
231,Panchkula,2.0,0.0,4.0
232,Panipat,0.0,0.0,1.0
233,Rewari,0.0,0.0,0.0
234,Rohtak,2.0,0.0,0.0
235,Sirsa,2.0,0.0,0.0
236,Sonipat,0.0,0.0,1.0
237,Yamunanagar,2.0,0.0,0.0
238,Bokaro,0.0,0.0,1.0
239,Chatra,0.0,0.0,2.0
240,Deoghar,2.0,0.0,3.0
241,Dhanbad,1.0,0.0,1.0
242,Dumka,0.0,0.0,0.0
243,East Singhbhum,0.0,0.0,1.0
244,Garhwa,1.0,0.0,2.0
245,Giridih,0.0,0.0,0.0
246,Godda,0.0,0.0,0.0
247,Gumla,0.0,0.0,3.0
248,Hazaribagh,1.0,0.0,0.0
249,Jamtara,0.0,0.0,0.0
250,Khunti,3.0,0.0,1.0
251,Koderma,0.0,0.0,0.0
252,Latehar,1.0,0.0,2.0
253,Lohardaga,0.0,0.0,1.0
254,Pakur,0.0,0.0,0.0
255,Palamu,0.0,0.0,0.0
256,Ramgarh,1.0,0.0,3.0
257,Ranchi,4.0,0.0,2.0
258,Sahibganj,0.0,0.0,2.0
259,Saraikela-Kharsawan,0.0,0.0,0.0
260,Simdega,0.0,0.0,0.0
261,West Singhbhum,0.0,0.0,2.0
262,Anantnag,1.0,0.0,3.0
263,Bandipora,6.0,0.0,4.0
264,Baramulla,11.0,0.0,25.0
265,Budgam,4.0,0.0,9.0
266,Doda,6.0,0.0,11.0
267,Ganderbal,4.0,0.0,4.0
268,Jammu,8.0,0.0,3.0
269,Kathua,0.0,0.0,2.0
270,Kishtwar,5.0,0.0,4.0
271,Kulgam,5.0,0.0,3.0
272,Kupwara,20.0,0.0,7.0
273,Mirpur,0.0,0.0,0.0
274,Muzaffarabad,0.0,0.0,0.0
275,Pulwama,2.0,0.0,0.0
276,Punch,0.0,0.0,2.0
277,Rajouri,13.0,0.0,5.0
278,Ramban,0.0,1.0,4.0
279,Reasi,0.0,0.0,7.0
280,Samba,1.0,0.0,0.0
281,Shopiyan,0.0,0.0,2.0
282,Srinagar,27.0,0.0,16.0
283,Udhampur,1.0,0.0,3.0
284,Bagalkote,3.0,0.0,3.0
285,Ballari,13.0,0.0,8.0
286,Belagavi,47.0,3.0,39.0
287,Bengaluru Rural,26.0,1.0,17.0
288,Bengaluru Urban,377.0,5.0,280.0
289,Bidar,0.0,0.0,1.0
290,Chamarajanagara,15.0,0.0,15.0
291,Chikkaballapura,7.0,0.0,30.0
292,Chikkamagaluru,65.0,0.0,30.0
293,Chitradurga,16.0,2.0,52.0
294,Dakshina Kannada,422.0,5.0,270.0
295,Davanagere,13.0,0.0,14.0
296,Dharwad,17.0,0.0,16.0
297,Gadag,0.0,0.0,5.0
298,Hassan,175.0,3.0,127.0
299,Haveri,5.0,0.0,0.0
300,Kalaburagi,4.0,0.0,5.0
301,Kodagu,71.0,2.0,83.0
302,Kolar,36.0,3.0,35.0
303,Koppal,4.0,0.0,4.0
304,Mandya,35.0,2.0,28.0
305,Mysuru,118.0,3.0,149.0
306,Other State,0.0,0.0,0.0
307,Raichur,2.0,0.0,1.0
308,Ramanagara,6.0,0.0,6.0
309,Shivamogga,47.0,1.0,121.0
310,Tumakuru,88.0,0.0,54.0
311,Udupi,130.0,1.0,166.0
312,Uttara Kannada,79.0,2.0,51.0
313,Vijayapura,2.0,0.0,7.0
314,Yadgir,3.0,0.0,1.0
315,Other State,0.0,0.0,0.0
316,Alappuzha,1440.0,5.0,1073.0
317,Ernakulam,2856.0,12.0,2024.0
318,Idukki,637.0,2.0,353.0
319,Kannur,1194.0,1.0,1323.0
320,Kasaragod,562.0,1.0,132.0
321,Kollam,1633.0,14.0,1165.0
322,Kottayam,1227.0,3.0,1301.0
323,Kozhikode,2789.0,10.0,2098.0
324,Malappuram,3109.0,13.0,2940.0
325,Palakkad,2414.0,19.0,2177.0
326,Pathanamthitta,696.0,5.0,532.0
327,Thiruvananthapuram,1255.0,11.0,1169.0
328,Thrissur,3124.0,19.0,2602.0
329,Wayanad,564.0,1.0,522.0
330,Kargil,0.0,0.0,0.0
331,Leh,0.0,0.0,0.0
332,Lakshadweep,5.0,0.0,10.0
333,Unknown,0.0,0.0,0.0
334,Ahmednagar,834.0,19.0,1776.0
335,Akola,4.0,0.0,0.0
336,Amravati,4.0,1.0,3.0
337,Aurangabad,23.0,1.0,4.0
338,Beed,113.0,4.0,168.0
339,Bhandara,1.0,0.0,2.0
340,Buldhana,18.0,1.0,0.0
341,Chandrapur,2.0,0.0,0.0
342,Dhule,0.0,0.0,0.0
343,Gadchiroli,5.0,0.0,13.0
344,Gondia,0.0,0.0,0.0
345,Hingoli,1.0,0.0,1.0
346,Jalgaon,7.0,0.0,0.0
347,Jalna,16.0,0.0,0.0
348,Kolhapur,337.0,15.0,474.0
349,Latur,35.0,0.0,44.0
350,Mumbai,285.0,9.0,560.0
351,Mumbai Suburban,0.0,0.0,0.0
352,Nagpur,5.0,0.0,0.0
353,Nanded,6.0,1.0,0.0
354,Nandurbar,0.0,0.0,0.0
355,Nashik,102.0,5.0,49.0
356,Osmanabad,101.0,2.0,135.0
357,Other State,0.0,0.0,0.0
358,Palghar,52.0,3.0,0.0
359,Parbhani,2.0,0.0,11.0
360,Pune,1146.0,9.0,610.0
361,Raigad,191.0,4.0,180.0
362,Ratnagiri,155.0,3.0,137.0
363,Sangli,568.0,12.0,889.0
364,Satara,594.0,28.0,796.0
365,Sindhudurg,83.0,5.0,105.0
366,Solapur,602.0,32.0,564.0
367,Thane,263.0,9.0,423.0
368,Wardha,0.0,0.0,0.0
369,Washim,2.0,0.0,0.0
370,Yavatmal,3.0,0.0,0.0
371,East Garo Hills,1.0,0.0,2.0
372,East Jaintia Hills,13.0,0.0,3.0
373,East Khasi Hills,256.0,7.0,76.0
374,North Garo Hills,3.0,0.0,12.0
375,Ribhoi,28.0,0.0,56.0
376,South Garo Hills,7.0,0.0,6.0
377,South West Garo Hills,7.0,0.0,7.0
378,South West Khasi Hills,16.0,0.0,14.0
379,West Garo Hills,40.0,0.0,82.0
380,West Jaintia Hills,25.0,1.0,39.0
381,West Khasi Hills,67.0,2.0,87.0
382,CAPF Personnel,0.0,0.0,0.0
383,Bishnupur,74.0,3.0,0.0
384,Chandel,20.0,0.0,0.0
